"contents href","_image_yazkc_11 src","_image_yazkc_11 src 2","whitespace-normal","font-medium 2","h-4","flex-none src","flex-none","truncate","pointer-events-none src 2","text-sp10","ml-[3px]","875rem] href","mr-0 src","truncate 2"
"https://shopee.co.id/adidas-Lifestyle-Daily-4.0-Shoes-Unisex-Black-JH6930-i.270510657.54001007513?extraParams=%7B%22display_model_id%22%3A405090416918%2C%22model_selection_logic%22%3A3%7D&sp_atk=69d65d5a-e99c-4681-bf2b-4193f3b04349&xptdk=69d65d5a-e99c-4681-bf2b-4193f3b04349","https://down-id.img.susercontent.com/file/sg-11134201-821el-mgslolt6hde0aa","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04","adidas Lifestyle Daily 4.0 Shoes Unisex Black JH6930","990.000","-10%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","7 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4-6 Hari","Bekasi","https://shopee.co.id/find_similar_products?catid=100637&itemid=54001007513&shopid=270510657","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png","Pilih 2, diskon 15%"
"https://shopee.co.id/adidas-Lifestyle-Ultradream-DNA-Shoes-Men-Black-JS0322-i.270510657.27936680554?extraParams=%7B%22display_model_id%22%3A186085672674%2C%22model_selection_logic%22%3A3%7D&sp_atk=942310da-cf96-4797-83eb-d22dbf7536b6&xptdk=942310da-cf96-4797-83eb-d22dbf7536b6","https://down-id.img.susercontent.com/file/id-11134201-7rbkd-mauqu4vmyjcbc4","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04","adidas Lifestyle Ultradream DNA Shoes Men Black JS0322","1.050.000","-30%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","81 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4-6 Hari","Bekasi","https://shopee.co.id/find_similar_products?catid=100637&itemid=27936680554&shopid=270510657","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png","Pilih 2, diskon 15%"
"https://shopee.co.id/ADIDAS-Sepatu-COURTQUICK-PADEL-JR4648-ORIGINAL-i.402386660.54102859912?extraParams=%7B%22display_model_id%22%3A335276309923%2C%22model_selection_logic%22%3A3%7D&sp_atk=184ef777-6f41-4a19-b53c-0efea2e160f9&xptdk=184ef777-6f41-4a19-b53c-0efea2e160f9","https://down-id.img.susercontent.com/file/sg-11134275-822y1-mi2rz7a655ac67","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f","ADIDAS Sepatu COURTQUICK PADEL JR4648 ORIGINAL","1.449.900","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","904 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","3-5 Hari","Bekasi","https://shopee.co.id/find_similar_products?catid=100637&itemid=54102859912&shopid=402386660","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png",""
"https://shopee.co.id/ADIDAS-Sepatu-Training-Pria-RAPIDMOVE-GO-JQ3950-ORI-i.1023939633.58052867208?extraParams=%7B%22display_model_id%22%3A297249038341%2C%22model_selection_logic%22%3A3%7D&sp_atk=612c2047-cd8b-416b-81b5-be0f37174dcb&xptdk=612c2047-cd8b-416b-81b5-be0f37174dcb","https://down-id.img.susercontent.com/file/sg-11134275-822zg-mi2rheiyxnnoe9","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx67rtd6r602f","ADIDAS Sepatu Training Pria RAPIDMOVE GO JQ3950 ORI","880.000","-20%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","18 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","3-5 Hari","Bekasi","https://shopee.co.id/find_similar_products?catid=100637&itemid=58052867208&shopid=1023939633","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png",""
"https://shopee.co.id/adidas-Lifestyle-GRAND-COURT-BASE-3.0-Shoes-Men-Black-HQ0082-i.270510657.52000447808?extraParams=%7B%22display_model_id%22%3A244070633471%2C%22model_selection_logic%22%3A3%7D&sp_atk=d91c54ef-7a12-4dec-a3f0-0c341f7be4e5&xptdk=d91c54ef-7a12-4dec-a3f0-0c341f7be4e5","https://down-id.img.susercontent.com/file/sg-11134201-8261q-mkdi34uejocgda","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04","adidas Lifestyle GRAND COURT BASE 3.0 Shoes Men Black HQ0082","855.000","-10%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","9 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4-6 Hari","Bekasi","https://shopee.co.id/find_similar_products?catid=100637&itemid=52000447808&shopid=270510657","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png","Pilih 2, diskon 15%"
"https://shopee.co.id/adidas-Running-GALAXY-RUNNING-SHOES-Men-Pink-KJ3488-i.270510657.53301008395?extraParams=%7B%22display_model_id%22%3A350090760806%2C%22model_selection_logic%22%3A3%7D&sp_atk=c0539773-fc25-4464-a920-5aa3b61e50e5&xptdk=c0539773-fc25-4464-a920-5aa3b61e50e5","https://down-id.img.susercontent.com/file/sg-11134201-821fj-mgsqkxfjbtajba","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04","adidas Running GALAXY RUNNING SHOES Men Pink KJ3488","650.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","29 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4-6 Hari","Bekasi","https://shopee.co.id/find_similar_products?catid=100637&itemid=53301008395&shopid=270510657","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png",""
"https://shopee.co.id/adidas-Lifestyle-Adizero-Aruku-Shoes-Unisex-White-JR1611-i.270510657.28690515221?extraParams=%7B%22display_model_id%22%3A286260724119%2C%22model_selection_logic%22%3A3%7D&sp_atk=6f9d45de-fb5a-4336-b822-4378ab223f19&xptdk=6f9d45de-fb5a-4336-b822-4378ab223f19","https://down-id.img.susercontent.com/file/sg-11134201-824il-mdwrmw4frfuu00","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04","adidas Lifestyle Adizero Aruku Shoes Unisex White JR1611","1.396.500","-34%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","203 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4-6 Hari","Bekasi","https://shopee.co.id/find_similar_products?catid=100637&itemid=28690515221&shopid=270510657","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png","Pilih 2, diskon 15%"
"https://shopee.co.id/adidas-Lifestyle-Running-Lite-Racer-CLN-2.0-Shoes-Men-Black-GZ2813-i.270510657.27518084843?extraParams=%7B%22display_model_id%22%3A197989509459%2C%22model_selection_logic%22%3A3%7D&sp_atk=58de19a1-06e4-477c-b4e7-bd2364b8a8b8&xptdk=58de19a1-06e4-477c-b4e7-bd2364b8a8b8","https://down-id.img.susercontent.com/file/id-11134201-7rbkd-mauqygcxfkvf0b","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04","adidas Lifestyle & Running Lite Racer CLN 2.0 Shoes Men Black GZ2813","630.000","-30%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","2RB+ Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4-6 Hari","Bekasi","https://shopee.co.id/find_similar_products?catid=100012&itemid=27518084843&shopid=270510657","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png","Pilih 2, diskon 15%"
"https://shopee.co.id/adidas-Lifestyle-SL-72-RS-SHOES-Men-Blue-JQ9824-i.270510657.40173767884?extraParams=%7B%22display_model_id%22%3A286930540050%2C%22model_selection_logic%22%3A3%7D&sp_atk=c12700fb-1b8f-4484-899e-9f16bdf40b27&xptdk=c12700fb-1b8f-4484-899e-9f16bdf40b27","https://down-id.img.susercontent.com/file/sg-11134201-824ha-mfqdqm6phonc94","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04","adidas Lifestyle SL 72 RS SHOES Men Blue JQ9824","1.800.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","4.9","19 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4-6 Hari","Bekasi","https://shopee.co.id/find_similar_products?catid=100637&itemid=40173767884&shopid=270510657","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png",""
"https://shopee.co.id/adidas-Tennis-Lifestyle-Courtblock-Shoes-Men-White-IF4033-i.270510657.27918083254?extraParams=%7B%22display_model_id%22%3A118515205840%2C%22model_selection_logic%22%3A3%7D&sp_atk=4a87d4a3-abef-4d1f-839b-2d260e24d09d&xptdk=4a87d4a3-abef-4d1f-839b-2d260e24d09d","https://down-id.img.susercontent.com/file/id-11134201-7rbk3-mauqugjfw5ua95","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04","adidas Tennis & Lifestyle Courtblock Shoes Men White IF4033","810.000","-10%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","349 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4-6 Hari","Bekasi","https://shopee.co.id/find_similar_products?catid=100637&itemid=27918083254&shopid=270510657","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png","Pilih 2, diskon 15%"
"https://shopee.co.id/adidas-Running-Duramo-RC2-Running-Shoes-Men-Turquoise-JQ8076-i.270510657.42565252016?extraParams=%7B%22display_model_id%22%3A281260383379%2C%22model_selection_logic%22%3A3%7D&sp_atk=e13b5d86-58c5-4107-a5ee-64838c6dad5f&xptdk=e13b5d86-58c5-4107-a5ee-64838c6dad5f","https://down-id.img.susercontent.com/file/sg-11134201-824ip-mdwpy3oggq2r53","https://down-id.img.susercontent.com/file/id-11134258-822wr-mlx5y0tebegw04","adidas Running Duramo RC2 Running Shoes Men Turquoise JQ8076","510.000","-40%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/d7099d3fd1dfdaf705ab.svg","5.0","430 Terjual","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/76dff349290d20891fc1.svg","4-6 Hari","Bekasi","https://shopee.co.id/find_similar_products?catid=100637&itemid=42565252016&shopid=270510657","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.11/pc/7c9110f78e069acbced7.png","Pilih 2, diskon 15%"
